DistCode,Year,StateCode,StateName,DistName,TotalPop1000,TotalMale1000,TotalFemale1000,TotalLITPop,MaleLITPop,FemaleLITPop,PerCapita1000,TotalPop,MALE_LIT,FEMALE_LIT,OVERALL_LIT,Per capita,TotalCrime,Crime_rate,GDPP
126,2011,3,Gujarat,Bhavnagar,2880.37,1490.2,1390.16,1887.26,1087.37,799.88,69,2880370,72.96805798,57.53870058,65.52144343,69000,4257,147.7935126,0.023955256
127,2011,3,Gujarat,Valsad,3035.35,1565.39,1469.97,2172.57,1195,977.57,94,3035350,76.33880375,66.50271774,71.57560084,94000,2532,83.41706887,0.030968422
128,2011,3,Gujarat,Dangs,228.29,113.82,114.47,140.97,77.31,63.65,62,228290,67.92303637,55.60408841,61.75040519,62000,227,99.43492926,0.271584388
129,2011,3,Gujarat,Jamnagar,2160.12,1114.19,1045.93,1396.53,795.14,601.39,123,2160120,71.36484801,57.49811173,64.65057497,123000,5126,237.3016314,0.056941281
130,2011,3,Gujarat,Junagadh,3328.53,1704.57,1623.97,2236.5,1268.6,967.9,59,3328530,74.42346164,59.6008547,67.19182342,59000,4196,126.0616548,0.017725543
131,2011,3,Gujarat,Kheda,4392.64,2272.95,2119.68,3211.49,1816.96,1394.53,64,4392640,79.93840604,65.78964749,73.11070336,64000,4868,110.8217382,0.014569826
132,2011,3,Gujarat,Kutch,2092.37,1096.74,995.63,1252.32,739.24,513.08,115,2092370,67.40339552,51.53320008,59.85174706,115000,4545,217.2177961,0.054961599
133,2011,3,Gujarat,Mehsana,3949.41,2047.7,1901.71,2763.06,1581.03,1182.03,102,3949410,77.21004053,62.15616471,69.961336,102000,4368,110.5987983,0.025826642
134,2011,3,Gujarat,Panchmahal,4517.87,2295.61,2222.26,2447.98,1457.09,990.89,37,4517870,63.47288956,44.58929198,54.18438335,37000,3540,78.35550824,0.0081897
135,2011,3,Gujarat,Rajkot,3804.56,1974.45,1830.11,2725.06,1514.08,1210.98,101,3804560,76.68363342,66.16979307,71.62615388,101000,8521,223.9680804,0.026547091
136,2011,3,Gujarat,Sabarkantha,2428.59,1244.23,1184.36,1578.73,918.63,660.11,70,2428590,73.83120484,55.73558715,65.00603231,70000,4667,192.1691187,0.028823309
137,2011,3,Gujarat,Surat,6888.34,3804.41,3083.93,5061.45,2956.48,2104.97,108,6888340,77.71191854,68.25608882,73.47851587,108000,11854,172.0879051,0.015678669
138,2011,3,Gujarat,Surendranagar,1756.27,909.92,846.35,1093.63,643.22,450.41,81,1756270,70.68973097,53.21793584,62.27003821,81000,3037,172.9232977,0.046120471
139,2011,10,Rajasthan,Ajmer,2583.05,1324.09,1258.97,1526.67,926.27,600.41,65,2583050,69.95521452,47.69057245,59.10338553,65000,6627,256.5571708,0.02516405
140,2011,10,Rajasthan,Alwar,3674.18,1939.03,1735.15,2182.48,1359.83,822.65,62,3674180,70.12939459,47.41088667,59.40046487,62000,10643,289.670076,0.016874513
141,2011,10,Rajasthan,Banswara,2083.88,1052.2,1031.66,961.84,596.39,365.45,33,2083880,56.68028892,35.42349224,46.15620861,33000,2567,123.1836766,0.015835845
142,2011,10,Rajasthan,Barmer,2603.75,1369.02,1234.73,1188.32,783.46,404.86,27,2603750,57.22779799,32.78935476,45.63879021,27000,3392,130.2736438,0.010369659
143,2011,10,Rajasthan,Bharatpur,3754.98,2009.38,1745.61,2163.97,1379.63,784.34,42,3754980,68.65948701,44.93214406,57.62933491,42000,9120,242.8774587,0.011185146
144,2011,10,Rajasthan,Bhilwara,2408.52,1220.74,1187.79,1256.13,777.58,478.54,69,2408520,63.69742943,40.28826644,52.1536047,69000,4697,195.0160264,0.028648299
145,2011,10,Rajasthan,Bikaner,2363.94,1240.8,1123.14,1278.8,782.4,496.4,44,2363940,63.05609284,44.19751767,54.09612765,44000,3831,162.0599508,0.018612994
146,2011,10,Rajasthan,Bundi,1110.91,577.16,533.75,585.04,371.71,213.34,57,1110910,64.40328505,39.97002342,52.66313203,57000,3305,297.5038482,0.051309287
